Project_Description,Budget,Website,GitHub Url,Twitter Url
The Bincrafter's Packaging Project,"$6,101",http://bincrafters.github.io/,,https://twitter.com/bincrafters
Pooling money to give people who need it a free ride to go out and vote in November 🚕✍️🗳✓✌️,$0,https://opencollective.com/FreeRideToVote,,https://twitter.com/FreeRideToVote
Code for Denver is a volunteer organization working on tech projects to help the community-driven efforts,"$2,323",http://codefordenver.org/,,https://twitter.com/CodeForDenver
"React Native Firebase is a well tested, feature rich Firebase implementation for React Native, supporting both iOS & Android platforms for 15+ Firebase modules","£2,793",http://rnfirebase.io/,,https://twitter.com/rnfirebase
"Le MIcro Mobility Center est le premier centre européen d’information, d’éducation, d’expertise et de mise à disposition d’engins de micro mobilité.","€2,242",http://www.mimoc.org/,,
Next generation tool for building templates without coding,"$2,926",https://github.com/artf/grapesjs,,https://twitter.com/grapesjs
Run multiple websites using the same Laravel installation while keeping tenant specific data separated for fully independent multi-domain setups.,"€2,675",http://laravel-tenancy.com/,,https://twitter.com/laraveltenancy
Your Own URL Shortener,"$1,502",https://github.com/YOURLS/YOURLS,,https://twitter.com/yourls
,"$1,464",https://github.com/cxxxr/lem,,
,"$2,021",http://internetfreedomfestival.org/,,https://twitter.com/InternetFF
Put Forward the zero waste spirit for babies & children,"€1,856",http://www.greenmebaby.com/,,
,$175,http://www.internetfreedomfestival.org/,,https://twitter.com/internetff
Untangle your GitHub notifications,"$3,135",https://octobox.io/,https://github.com/octobox,https://twitter.com/octoboxio
A distributed and secure peer to peer social network,"$3,330",http://scuttlebutt.nz/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"£1,276",https://twitter.com/wwcbristol,,https://twitter.com/wwcbristol
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,651",https://twitter.com/wwcodedfw,,https://twitter.com/wwcodedfw
"We host lessons, classes, and swing dances. Worker-owned nonprofit. HQ in Olympia, Washington, United States.","$2,019",https://swing.dance.coop/,,
,$260,https://github.com/sahat/satellizer,,
Giving back to open source for the holidays,"$1,519",http://24pullrequests.com/,,https://twitter.com/24pullrequests
Task Queue,"$2,250",https://github.com/celery/celery,,https://twitter.com/celeryq
Cross-platform Node.js BLE,$334,https://github.com/noble,,
Radarr provides an excellent automated movie experience.,"$2,250",https://radarr.video/,,
Silhouette is a framework agnostic authentication library for Scala applications,$189,https://github.com/mohiva/play-silhouette,,
,€0,,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,767",https://twitter.com/wwcodebangalore,,https://twitter.com/wwcodebangalore
,"$1,790",https://github.com/flowtype/flow-for-vscode,,
Simple and elegant component-based UI library #javascript,"$1,034",https://github.com/riot/riot,,https://twitter.com/riotjs_
,€899,,,
"API creation made simple, secure and fast.","$1,917",https://github.com/strapi/strapi,,https://twitter.com/strapijs
Connecting open source & design! 🎨,$768,https://opensourcedesign.net/,https://github.com/opensourcedesign,https://twitter.com/opensrcdesign
"Simple, elegant, Pythonic functional programming.","$1,731",http://coconut-lang.org/,,https://twitter.com/EvanHub
"Fast, flexible, and lean implementation of core jQuery designed specifically for the server","$1,679",http://cheerio.js.org/,,
,"$1,303",https://github.com/HospitalRun,,https://twitter.com/hospitalrun
,"€1,100",,,
The web's scaffolding tool for modern webapps,"$1,299",http://yeoman.io/,,https://twitter.com/yeoman
,"$1,568",http://pdxnode.org/,,https://twitter.com/PDXnode
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,545",,,
Fast and Elegant Scraping Framework for Golang,"$1,567",http://go-colly.org/,,
Lightweight code hosting solution written in Go,"$2,637",http://gitea.io/,,https://twitter.com/giteaio
A free and open database for farming and gardening knowledge. You can grow anything!,$661,https://openfarm.cc/,,https://twitter.com/openfarmcc
"Popular boilerplate (seed) project for creating web apps with React, Relay, and GraphQL",$9,https://github.com/kriasoft/react-firebase-starter,,https://twitter.com/ReactStarter
We are Serverless Meetups.,$0,https://www.meetup.com/Serverless/,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,444",,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,435",https://twitter.com/wwcode_tokyo,,https://twitter.com/wwcode_tokyo
,$0,,,
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"$1,371",https://twitter.com/wwcodegville,,https://twitter.com/wwcodegville
Full-stack Node.js & Angular webapp generator,$448,https://github.com/angular-fullstack/generator-angular-fullstack,,
Convening social enterprise and tech sector in New Zealand to collaborate and explore tech as an enabler of social impact,"NZ$1,395",https://www.meetup.com/Tech-for-Good-New-Zealand/,,https://twitter.com/techforgoodnz
,"$1,233",https://github.com/NekR/offline-plugin,,
,"$1,077",https://github.com/bvaughn/react-virtualized,,
Extensible tool for weaving .net assemblies,"$6,725",https://github.com/Fody,https://github.com/Fody,https://twitter.com/FodyProject
,"$1,455",,,
WWCode inspires women to excel in technology careers.,"$1,317",https://www.womenwhocode.com/delhi,,https://twitter.com/wwcode_delhi
Free software web platform development cooperative,"$1,314",https://novawebdevelopment.org/,,
"The recommended CDN for Bootstrap, Font Awesome and Bootswatch.","$1,313",https://www.bootstrapcdn.com/,,https://twitter.com/getbootstrapcdn
"Be the media, know the media, change the media","£1,727",https://bettermedia.uk/,,https://twitter.com/bettermediauk
The Open Chemistry organization is an umbrella of multiple open source chemistry projects participating in Google Summer of Code,"$1,306",http://openchemistry.org/,,https://twitter.com/openchem
,"$1,367",https://github.com/VulcanJS/Vulcan,,
The super welcoming community of developers in Charlotte,"$1,633",https://www.meetup.com/charlottedevs/,,https://twitter.com/charlottedevs
WWCode is a global non-profit organization that inspires women to excel in technology careers.,"€1,051",https://twitter.com/wwcodedublin,,https://twitter.com/wwcodedublin
GoSublime is a collection of Sublime Text plugins for Go development.,"$1,414",https://github.com/DisposaBoy/GoSublime,,
