Project Name,No of Backers,Project Link
WWCode Tampa,$443,https://opencollective.com/wwcodetampa
ReCreate,17,https://opencollective.com/recreate
Thessaloniki .NET Meetup,$715,https://opencollective.com/thessnetmeetup
Huuman,13,https://opencollective.com/huuman
Womer,$619,https://opencollective.com/womer
Women Who Code San Diego,5,https://opencollective.com/wwcodesandiego
Sustainable Brussels,$750,https://opencollective.com/sustainable-brussels
UpstatePHP,13,https://opencollective.com/upstatephp
material-theme-jetbrains,$519,https://opencollective.com/material-theme-jetbrains
Archive Team,2,https://opencollective.com/archiveteam
Final Form,$524,https://opencollective.com/final-form
UserFrosting,22,https://opencollective.com/userfrosting
Open Ulmus,$361,https://opencollective.com/openulmus
La Conexión,1,https://opencollective.com/laconexion
react-native-image-crop-picker,$601,https://opencollective.com/react-native-image-crop-picker
WWCode Reno/Tahoe,10,https://opencollective.com/wwcoderenotahoe
MAE Trips,$117,https://opencollective.com/mae-trips-
apollo-universal-starter-kit,8,https://opencollective.com/apollo-universal-starter-kit
Emplea.do Job Board,$212,https://opencollective.com/empleo-dot-net
Enso,17,https://opencollective.com/enso
React Styleguidist,19,https://opencollective.com/styleguidist
The Lounge,€209,https://opencollective.com/thelounge
Ant Design Vue,12,https://opencollective.com/ant-design-vue
vux,$418,https://opencollective.com/vux
Buttercup,5,https://opencollective.com/buttercup
debug,€479,https://opencollective.com/debug
The S7 Foundation,11,https://opencollective.com/thes7foundation
react-hot-loader,€560,https://opencollective.com/react-hot-loader
Accel AI Institute,12,https://opencollective.com/accel-ai
RSSHub,€570,https://opencollective.com/rsshub
brain.js,7,https://opencollective.com/brainjs
AssemblyScript,$526,https://opencollective.com/assemblyscript
jest-puppeteer,2,https://opencollective.com/jest-puppeteer
octotree,CA$526,https://opencollective.com/octotree
kea,9,https://opencollective.com/kea
WWCode Kingston,€20,https://opencollective.com/wwcodekingston
WWCode Sacramento,3,https://opencollective.com/wwcodesacramento
Sunbeam City,€533,https://opencollective.com/sunbeam-city
localstack,11,https://opencollective.com/localstack
tabler,$645,https://opencollective.com/tabler
Terms of Service; Didn’t Read,3,https://opencollective.com/tosdr
Code Settings Sync,$550,https://opencollective.com/code-settings-sync
compodoc,3,https://opencollective.com/compodoc
NGXS,$508,https://opencollective.com/ngxs
navit,12,https://opencollective.com/navit
React Starter Kit,$529,https://opencollective.com/react-starter-kit
Embrace the Journey,4,https://opencollective.com/embrace-the-journey
Lidarr,$507,https://opencollective.com/lidarr
hledger,3,https://opencollective.com/hledger
goby,$338,https://opencollective.com/goby
Ellie,8,https://opencollective.com/ellie
Startup Yoga NYC,€482,https://opencollective.com/startupyoganyc
Thessaloníki ReactJS Meetup,4,https://opencollective.com/skgreactjs
PumpkinDB,$28,https://opencollective.com/pumpkindb
WarriorJS,20,https://opencollective.com/warriorjs
level,$550,https://opencollective.com/level
AMTV Digital Network,5,https://opencollective.com/amtv-collective
Relax,€519,https://opencollective.com/relax
apiato,4,https://opencollective.com/apiato
gitextensions,$492,https://opencollective.com/gitextensions
WWCode Waterloo,9,https://opencollective.com/wwcodewaterloo
Funkwhale,$543,https://opencollective.com/funkwhale
Operation Code DC,8,https://opencollective.com/operationcode-dc
Hack Portland,$53,https://opencollective.com/hack-portland
React PWA,7,https://opencollective.com/react-pwa
stylelint,$219,https://opencollective.com/stylelint
